编号,身份名称,特征描述,趣事提示
1,宇航员,身穿白色宇航服，头戴透明头盔,在零重力环境下吃早餐，牛奶飘在空中
2,海盗船长,独眼罩、三角帽、假腿木腿,用藏宝图找去学校的路线
3,消防员,黄色防火服，头戴安全帽,用水枪刷牙，结果喷了自己一脸
4,医生,白大褂、听诊器、口罩,"给家里的宠物做""全面体检"""
5,厨师,白色厨师帽，围裙上沾满面粉,"做了一份""创意早餐""，味道难以形容"
6,警察,蓝色制服，腰间配着手铐和警棍,逮捕了偷吃饼干的小偷——家里的猫
7,飞行员,棕色皮夹克，护目镜，围巾飘扬,把床当成飞机驾驶舱
8,潜水员,黑色潜水服，背着氧气瓶,"在浴缸里进行""深海探险"""
9,建筑工人,黄色安全帽，橙色背心,"用积木搭建了一座""摩天大楼"""
10,邮递员,蓝色制服，背着邮包,给家里的每个房间送信
11,农民,草帽，工装裤，手里拿着干草叉,"在阳台上""耕种""盆栽"
12,渔夫,防水围裙，雨靴，手持鱼竿,"在马桶里""钓鱼"""
13,魔术师,黑色礼帽，燕尾服，手持魔杖,试图把早餐变没，结果变出了兔子
14,小丑,彩色假发，红鼻子，大鞋子,用滑稽的方式走路去上学
15,芭蕾舞演员,粉色 tutu 裙，芭蕾舞鞋,用旋转的方式刷牙
16,摇滚明星,皮夹克，爆炸头，手持电吉他,用吉他演奏闹钟铃声
17,画家,贝雷帽，围裙上沾满颜料,把墙壁当成了画布
18,摄影师,挂着多台相机，头戴遮阳帽,给家里的每件家具拍照留念
19,记者,手持麦克风，胸前挂着记者证,采访妈妈关于早餐的看法
20,侦探,风衣，放大镜，烟斗（假的）,"调查""谁偷吃了冰箱里的蛋糕"""
21,骑士,银色盔甲，手持长剑和盾牌,"骑着扫帚去拯救""被困的公主""（妹妹）"
22,牛仔,牛仔帽，皮靴，腰间配枪套,试图套索家里的狗
23,忍者,黑色夜行衣，只露出眼睛,悄无声息地移动到厨房
24,武士,和服，腰间佩刀，发髻,用武士道精神面对早餐
25,罗马士兵,红色披风，手持短剑和盾牌,用盾牌当盘子吃早餐
26,维京战士,头戴牛角盔，手持战斧,用战斧切面包（危险动作请勿模仿）
27,法老,金色头饰，白色长袍，手持权杖,"命令""臣民""（父母）准备早餐"
28,国王,金色皇冠，紫色披风，权杖,"宣布今天是""全国饼干日"""
29,女王,华丽皇冠，长裙，手持扇子,优雅地品尝每一口早餐
30,王子,金色王冠，华丽礼服,"等待""灰姑娘""来送早餐"
31,公主,粉色长裙，头戴小皇冠,要求早餐必须放在银盘子里
32,管家,黑色燕尾服，白手套,用完美的礼仪为家人服务早餐
33,园丁,草帽，手套，手持修枝剪,修剪家里的植物发型
34,理发师,白色围裙，手持剪刀和梳子,给家里的玩偶做新发型
35,牙医,白大褂，口罩，手持牙镜,检查全家人的牙齿健康
36,兽医,白大褂，听诊器，药箱,"给毛绒玩具""看病"""
37,科学家,白大褂，护目镜，试管,"用试管调配""神秘饮料""（果汁）"
38,考古学家,遮阳帽，刷子，工具包,"在沙箱里""挖掘恐龙化石"""
39,探险家,探险帽，地图，指南针,"在房子里寻找""失落的宝藏"""
40,图书管理员,眼镜，毛衣，手里拿着书,"给家里的书做""借阅登记"""
41,银行家,西装，领带，手持计算器,"计算早餐的""营养价值成本"""
42,律师,黑色西装，公文包,"为""谁该洗碗""进行法庭辩论"
43,法官,黑色法袍，手持法槌,"裁决""早餐吃什么""的案件"
44,宇航员维修工,宇航服，工具箱,"修理""太空站""（家里的水管）"
45,赛车手,赛车服，头盔,把餐椅当成赛车座椅
46,火车司机,制服，帽子，口哨,"用""火车即将发车""的方式催促家人"
47,船长,白色制服，船长帽,把餐桌当成船甲板
48,灯塔看守人,厚外套，望远镜,"用台灯当灯塔指引""船只"""
49,动物园管理员,卡其制服，对讲机,"给家里的宠物""喂食时间"""
50,驯兽师,红色外套，鞭子（假的），椅子,"试图""驯服""家里的猫"
51,马戏团团长,高礼帽，燕尾服,"组织一场""家庭马戏表演"""
52,杂技演员,紧身衣，身体柔软,用倒立的方式吃早餐
53,走钢丝演员,平衡杆，紧身衣,在地板线上练习平衡
54,大力士,豹纹紧身衣，肌肉发达,试图举起家里的沙发
55,糖果店老板,白色围裙，糖果帽,把早餐都想象成糖果
56,面包师,白色帽子，面粉满身,"烤了一炉""形状奇特""的面包"
57,冰淇淋车司机,白色制服，帽子,用冰淇淋勺挖麦片
58,超市收银员,制服，扫描枪,"给冰箱里的食物""结账"""
59,花店老板,围裙，手持花束,用鲜花装饰早餐桌
60,玩具店老板,围裙，口袋里装满玩具,"给每个餐具分配一个""玩具伙伴"""
61,钟表匠,放大镜，小工具,修理家里所有的闹钟
62,鞋匠,围裙，鞋楦，锤子,"给家人的鞋子""做保养"""
63,裁缝,卷尺，别针，剪刀,给玩偶设计新衣服
64,铁匠,皮围裙，锤子，火炉（假的）,用锤子敲扁面包片
65,木匠,工装裤，工具腰带,"用积木搭建""家具"""
66,电工,工具腰带，电笔,检查家里所有的插座
67,水管工,工装裤，管钳,"修理""漏水""的水龙头"
68,清洁工,橙色背心，扫帚,用夸张的方式打扫房间
69,垃圾车司机,反光背心，手套,"分类家里的""垃圾""（其实是玩具）"
70,保安,制服，对讲机,"检查每个房间的""安全状况"""
71,救生员,红色泳衣，哨子，浮板,"在浴缸边""执勤"""
72,滑雪教练,滑雪服，护目镜,"在地板上练习""滑雪动作"""
73,冲浪教练,花衬衫，短裤,"站在滑板上""冲浪"""
74,瑜伽教练,瑜伽服，瑜伽垫,"教家人做""早餐瑜伽"""
75,健身教练,运动服，毛巾，哨子,"监督家人做""早餐运动"""
76,游泳教练,泳衣，哨子，浮板,"在浴缸里""教学"""
77,舞蹈老师,紧身衣，舞蹈鞋,"教家人跳""早餐舞"""
78,音乐老师,手持指挥棒,"指挥家人""演奏""餐具"
79,美术老师,围裙，画笔,"教家人用番茄酱""作画"""
80,体育老师,运动服，哨子,"组织""早餐奥运会"""
81,狮子,金色鬃毛，尾巴，爪子,"用""狮吼""叫家人起床"
82,老虎,橙色皮毛，黑色条纹,悄无声息地潜行到厨房
83,大象,长鼻子，大耳朵，灰色皮肤,"用鼻子""喷水""（其实是洒水壶）"
84,长颈鹿,长长的脖子，棕色斑点,需要从高处拿东西
85,斑马,黑白条纹,"在房间里""奔跑"""
86,猴子,棕色毛发，长尾巴,"在沙发上""荡秋千"""
87,大猩猩,黑色毛发，强壮的肌肉,用拳头捶胸示警
88,熊猫,黑白毛色，黑眼圈,抱着竹子（其实是芹菜）啃
89,考拉,灰色毛发，大耳朵,"整天抱着""桉树""（抱枕）"
90,袋鼠,强壮的后腿，育儿袋,"把玩具放在""育儿袋""里"
91,企鹅,黑白礼服，摇摇摆摆,"在地板上""滑行"""
92,北极熊,白色毛发，黑色鼻子,"在冰箱里""寻找食物"""
93,棕熊,棕色毛发，大爪子,"准备""冬眠""（赖床）"
94,狐狸,红色毛发，尖耳朵，大尾巴,"用""狡猾""的方式偷吃饼干"
95,狼,灰色毛发，尖耳朵,"对着窗外""嚎叫"""
96,狗,耷拉耳朵，尾巴摇摆,"用""汪汪""声回应一切"
97,猫,胡须，尖耳朵，尾巴,"优雅地舔""爪子""（手）"
98,兔子,长耳朵，大门牙，毛球尾巴,蹦蹦跳跳地去厨房
99,松鼠,大尾巴，储存食物,把坚果藏在各个角落
100,刺猬,满身尖刺，小鼻子,蜷缩成球滚来滚去
101,蝙蝠,黑色皮毛，翅膀,倒挂在门把手上
102,猫头鹰,大眼睛，能转头270度,夜间活动，白天打瞌睡
103,老鹰,锐利眼神，钩状喙,"从高处""俯冲""抓""猎物"""
104,孔雀,华丽尾羽，蓝色颈部,开屏展示美丽羽毛
105,火烈鸟,粉红色羽毛，单腿站立,单脚站着吃早餐
106,鹦鹉,彩色羽毛，会学舌,重复家人说的每一句话
107,啄木鸟,尖喙，红色头顶,"啄门发出""笃笃""声"
108,天鹅,白色羽毛，优雅长颈,"优雅地""游""过房间"
109,鸭子,扁嘴巴，摇摇摆摆,"""嘎嘎""叫着要面包屑"
110,鸡,红色鸡冠，翅膀,"早上""打鸣""叫醒全家"
111,火鸡,红色肉垂，展开尾羽,迈着夸张的步伐走路
112,鸵鸟,长脖子，大眼睛，不会飞,把头埋进枕头里
113,恐龙（霸王龙）,巨大身躯，小手臂，尖牙,"用""咆哮""表达不满"
114,恐龙（三角龙）,三只角，颈盾,用角顶开房门
115,恐龙（翼龙）,翅膀，尖嘴,"在房间里""飞翔"""
116,蛇,无腿，鳞片，舌头分叉,"在地上""滑行""移动"
117,蜥蜴,鳞片，长舌头，能断尾,"趴在墙上""晒太阳"""
118,变色龙,能变色，长舌头,试图融入墙壁颜色
119,鳄鱼,坚硬鳞片，大嘴巴,"张开嘴等待""猎物"""
120,海龟,硬壳，短腿,"背着""壳""（背包）慢慢爬"
121,青蛙,绿色皮肤，长腿，大嘴巴,"""呱呱""叫着跳跃"
122,蝌蚪,黑色小身体，尾巴,"在水里""游来游去"""
123,金鱼,橙色鳞片，大尾巴,"在浴缸里""游泳"""
124,鲨鱼,尖牙，背鳍,"背着""背鳍""在房间里巡游"
125,鲸鱼,巨大身躯，喷水孔,"从""喷水孔""（水壶）喷水"
126,海豚,灰色身体，尖嘴,"发出""吱吱""叫声"
127,海豹,圆润身体，鳍状肢,"在地板上""拍打""滑行"
128,海狮,胡须，能顶球,用鼻子顶球（其实是苹果）
129,章鱼,八条触手，能喷墨,"用多条""触手""同时拿东西"
130,水母,透明身体，触手,漂浮着移动
131,海星,五角星形状,"在地板上""蠕动"""
132,螃蟹,横着走，大钳子,sideways 走路，用钳子夹东西
133,龙虾,大钳子，长须,"挥舞钳子威胁""敌人"""
134,蜗牛,背着壳，分泌粘液,"缓慢地""爬行"""
135,毛毛虫,多足，柔软身体,"在地上""蠕动""前进"
136,蝴蝶,彩色翅膀,"在房间里""飞舞"""
137,蜜蜂,黄黑条纹，翅膀,"""嗡嗡""飞着寻找""花蜜"""
138,蚂蚁,六条腿，触角,"排成队搬运""食物"""
139,瓢虫,红色壳，黑点,"在叶子上""爬行"""
140,蜘蛛,八条腿，会吐丝,"在角落""织网"""
141,蝎子,毒刺，钳子,翘起尾巴示威
142,独角仙,大角，硬壳,"用角顶撞""对手"""
143,萤火虫,发光尾部,"在暗处""发光"""
144,蜻蜓,大眼睛，透明翅膀,"快速""飞行"""
145,螳螂,大刀状前肢,"摆出""祈祷""姿势"
146,甲虫,硬壳，六条腿,"在地上""爬行"""
147,蚊子,细长腿，尖嘴,"""嗡嗡""叫着""吸血"""
148,苍蝇,复眼，翅膀,"围着食物""打转"""
149,蚯蚓,柔软身体，环节,"在土里""钻洞"""
150,独角兽,马身，额头独角,"用角施展""魔法"""
151,龙,鳞片，翅膀，喷火,"""喷火""（其实是吹热气）"
152,凤凰,火焰羽毛，能重生,"从""灰烬""（被窝）中""重生"""
153,麒麟,鹿角，龙鳞，马蹄,"带来""祥瑞""（好运）"
154,九尾狐,九条尾巴，妖媚,"用尾巴""施法"""
155,美人鱼,人身鱼尾,"在浴缸里""游泳"""
156,半人马,人身马腿,"快速""奔跑"""
157,狼人,狼头人身,"对着月亮""嚎叫"""
158,吸血鬼蝙蝠,尖牙，翅膀,"用""尖牙""咬（其实是亲）家人"
159,雪人,白色身体，胡萝卜鼻子,"在冰箱里""避暑"""
160,树精,树皮皮肤，树叶头发,"站在角落""光合作用"""
161,巫师,尖帽，长袍，魔杖,"用魔杖把麦片变成""青蛙"""
162,女巫,尖帽，黑猫，坩埚,"在锅里""熬制""早餐粥"
163,魔法师,华丽长袍，水晶球,预测今天会吃什么早餐
164,精灵,尖耳朵，轻盈身形,"用""魔法""让餐具自己动起来"
165,小仙子,翅膀，魔杖，发光,"撒下""仙尘""（其实是糖粉）"
166,巨人,巨大身躯，大脚,一步就能跨过房间
167,矮人,矮小身材，大胡子，矿工,"在沙发下""挖掘宝藏"""
168,地精,绿色皮肤，尖耳朵,"躲在角落里""恶作剧"""
169,巨魔,丑陋面容，强壮身体,"躲在床底下""吓唬""人"
170,幽灵,白色床单，透明，无声,飘浮着穿过墙壁
171,骷髅,白骨身躯，眼眶空洞,"发出""咔咔""的骨头声"
172,僵尸,绿色皮肤，行动迟缓,"拖着脚""僵尸走"""
173,吸血鬼,尖牙，披风，怕阳光,"用披风遮住""阳光"""
174,科学怪人,绿色皮肤，缝合痕迹,用僵硬的动作走路
175,木乃伊,全身绷带,"缓慢地""缠绷带"""
176,狼人,狼头，尖牙，毛发,"在月圆之夜""变身"""
177,恶魔,红色皮肤，角，尾巴,"用""邪恶""的语气说话"
178,天使,白色翅膀，光环,"用""神圣""的光芒照耀房间"
179,死神,黑色斗篷，镰刀,"用镰刀""收割""麦片"
180,外星人,绿色皮肤，大眼睛,"用""外星语""和家人交流"
181,火星人,红色皮肤，触角,"研究""地球生物""（家人）"
182,机器人,金属身体，发光眼睛,用机械的声音说话
183,赛博格,半人半机器,"用""机械臂""拿东西"
184,超级英雄,披风，紧身衣，面具,"用""超能力""拯救早餐"
185,超级反派,邪恶服装，疯狂笑声,"策划""统治世界""的计划"
186,忍者神龟,绿色皮肤，面具，武器,"用""忍者技巧""偷吃披萨"
187,变形金刚,能变形的机器人,"把椅子""变形""成其他东西"
188,奥特曼,银色红色战衣,"用""光线""消灭""怪兽"""
189,怪兽（哥斯拉）,巨大身躯，背鳍,"用""原子吐息""（其实是哈欠）"
190,怪兽（金刚）,大猩猩，巨大,"捶胸""咆哮"""
191,雪怪,白色毛发，大脚,"在冰箱里""制造雪崩"""
192,尼斯湖水怪,长颈，水生,"在浴缸里""出没"""
193,大脚怪,巨大脚印，毛发,"留下巨大的""脚印"""
194,小矮妖,绿色衣服，藏金币,把金币（巧克力）藏起来
195,皮克西,小精灵，调皮,到处搞小恶作剧
196,灯神,从灯里出来，能实现愿望,"从""神灯""（台灯）里""出来"""
197,海神,三叉戟，控制海洋,"用三叉戟""控制""浴缸的水"
198,雷神,雷神之锤，控制雷电,"用锤子""召唤雷电"""
199,太阳神,金色光芒，温暖,"用""阳光""照亮房间"
200,月亮女神,银色光芒，神秘,"在月光下""跳舞"""
